content,place,year,month,content_token
published 1974 new writes,India,2022,January,"['published', '1974', 'new', 'writes']"
impacts everyones food water security direct cause soil degradation limits amount carbon earth able contain 500 million people today live areas affected erosion12,India,2022,January,"['impacts', 'everyones', 'food', 'water', 'security', 'direct', 'cause', 'soil', 'degradation', 'limits', 'amount', 'carbon', 'earth', 'able', 'contain', '500', 'million', 'people', 'today', 'live', 'areas', 'affected', 'erosion12']"
purpose fridge protect food heat cold winter fridge ona fridge wd consume around 1kw powerday wd 1 kg co2day co2 stay 300yr atmosphere amp cause,India,2022,January,"['purpose', 'fridge', 'protect', 'food', 'heat', 'cold', 'winter', 'fridge', 'ona', 'fridge', 'wd', 'consume', 'around', '1kw', 'powerday', 'wd', '1', 'kg', 'co2day', 'co2', 'stay', '300yr', 'atmosphere', 'amp', 'cause']"
,India,2022,January,[]
international water crisis k aspect se bhi aur sath sath indopak water issue ko bhi dekh lain goes topics youll take general topic research every aspect,India,2022,January,"['international', 'water', 'crisis', 'k', 'aspect', 'se', 'bhi', 'aur', 'sath', 'sath', 'indopak', 'water', 'issue', 'ko', 'bhi', 'dekh', 'lain', 'goes', 'topics', 'youll', 'take', 'general', 'topic', 'research', 'every', 'aspect']"
land pollution jeopardise earth soil temperature 1824 degrees growth new era due touched 19 degrees continuing declines soil moisture increase need irrigation agriculture lead desertification,India,2022,January,"['land', 'pollution', 'jeopardise', 'earth', 'soil', 'temperature', '1824', 'degrees', 'growth', 'new', 'era', 'due', 'touched', '19', 'degrees', 'continuing', 'declines', 'soil', 'moisture', 'increase', 'need', 'irrigation', 'agriculture', 'lead', 'desertification']"
born cool made hot,India,2022,January,"['born', 'cool', 'made', 'hot']"
bring satyug golden era kalyug iron agethere ne shortage resources reduced zero earth filled shortage rain anyway earth sant rampal maharaj,India,2022,January,"['bring', 'satyug', 'golden', 'era', 'kalyug', 'iron', 'agethere', 'ne', 'shortage', 'resources', 'reduced', 'zero', 'earth', 'filled', 'shortage', 'rain', 'anyway', 'earth', 'sant', 'rampal', 'maharaj']"
kuwait public transport clean nd beautiful nd modern still thts strangei guess time nd status imp people thn,India,2022,January,"['kuwait', 'public', 'transport', 'clean', 'nd', 'beautiful', 'nd', 'modern', 'still', 'thts', 'strangei', 'guess', 'time', 'nd', 'status', 'imp', 'people', 'thn']"
necessary snow arctic circle recedingfuture uncertain water friends,India,2022,January,"['necessary', 'snow', 'arctic', 'circle', 'recedingfuture', 'uncertain', 'water', 'friends']"
amit paswan resident traveling 28 state capitals foot already traveled 1000 km starting reaching started journey october spreading awareness amp,India,2022,January,"['amit', 'paswan', 'resident', 'traveling', '28', 'state', 'capitals', 'foot', 'already', 'traveled', '1000', 'km', 'starting', 'reaching', 'started', 'journey', 'october', 'spreading', 'awareness', 'amp']"
pic says alot,India,2021,December,"['pic', 'says', 'alot']"
world india every one election apne apne raag apane apne rang,India,2021,December,"['world', 'india', 'every', 'one', 'election', 'apne', 'apne', 'raag', 'apane', 'apne', 'rang']"
last day year raining dubai,India,2021,December,"['last', 'day', 'year', 'raining', 'dubai']"
fact even urban areas even ghontiya back smokes seen morning far concern indias contribution,India,2021,December,"['fact', 'even', 'urban', 'areas', 'even', 'ghontiya', 'back', 'smokes', 'seen', 'morning', 'far', 'concern', 'indias', 'contribution']"
one best efforts ads amp promotion strategy students promoting,India,2021,December,"['one', 'best', 'efforts', 'ads', 'amp', 'promotion', 'strategy', 'students', 'promoting']"
bring lot changes present weather,India,2021,December,"['bring', 'lot', 'changes', 'present', 'weather']"
study much affect people middle easthfq,India,2021,December,"['study', 'much', 'affect', 'people', 'middle', 'easthfq']"
hiwale marrying unhale warmingbut wagh marrying waghmare pure suicide,India,2021,December,"['hiwale', 'marrying', 'unhale', 'warmingbut', 'wagh', 'marrying', 'waghmare', 'pure', 'suicide']"
decided theme 4th ghotki festival pressing issues time amp climatic causes effects amp complexities important understand fight health planet,India,2021,December,"['decided', 'theme', '4th', 'ghotki', 'festival', 'pressing', 'issues', 'time', 'amp', 'climatic', 'causes', 'effects', 'amp', 'complexities', 'important', 'understand', 'fight', 'health', 'planet']"
quite areas received amp anyone nobtw,India,2021,December,"['quite', 'areas', 'received', 'amp', 'anyone', 'nobtw']"
destroy nature,India,2021,December,"['destroy', 'nature']"
cutting trees causes,India,2021,December,"['cutting', 'trees', 'causes']"
electric vehicles play key role curbing chaos caused due changeread full article,India,2021,December,"['electric', 'vehicles', 'play', 'key', 'role', 'curbing', 'chaos', 'caused', 'due', 'changeread', 'full', 'article']"
create havoc world economies secure financial assets survive,India,2021,December,"['create', 'havoc', 'world', 'economies', 'secure', 'financial', 'assets', 'survive']"
eggz lol bad guess,India,2021,December,"['eggz', 'lol', 'bad', 'guess']"
afforestation peoples movements overcome climatic forests save environment,India,2021,December,"['afforestation', 'peoples', 'movements', 'overcome', 'climatic', 'forests', 'save', 'environment']"
hits right notes probably comet amp ramped actually save planet amp many working tirelessly time bits amp much needed watch,India,2021,December,"['hits', 'right', 'notes', 'probably', 'comet', 'amp', 'ramped', 'actually', 'save', 'planet', 'amp', 'many', 'working', 'tirelessly', 'time', 'bits', 'amp', 'much', 'needed', 'watch']"
case realism rather panic,India,2021,December,"['case', 'realism', 'rather', 'panic']"
save earth 3 students per class best student teacher interaction aed 264 per month mathematics amp science aed 75 per month english amp aed 75 per month hindi,India,2021,December,"['save', 'earth', '3', 'students', 'per', 'class', 'best', 'student', 'teacher', 'interaction', 'aed', '264', 'per', 'month', 'mathematics', 'amp', 'science', 'aed', '75', 'per', 'month', 'english', 'amp', 'aed', '75', 'per', 'month', 'hindi']"
strikes held streets across globe calling world leaders address take urgent actions keep promises limiting 15 degrees celsius 27 degrees fahrenheit,India,2021,December,"['strikes', 'held', 'streets', 'across', 'globe', 'calling', 'world', 'leaders', 'address', 'take', 'urgent', 'actions', 'keep', 'promises', 'limiting', '15', 'degrees', 'celsius', '27', 'degrees', 'fahrenheit']"
duty everyone ensure prevented benefit people world,India,2021,December,"['duty', 'everyone', 'ensure', 'prevented', 'benefit', 'people', 'world']"
useful pushes reindeers towards extinction,India,2021,December,"['useful', 'pushes', 'reindeers', 'towards', 'extinction']"
way holding head look tightly holding herreason,India,2021,December,"['way', 'holding', 'head', 'look', 'tightly', 'holding', 'herreason']"
time environment people inhaling poisonous gases leaders mentioned tweet learned dynamic personalities working hard reducing delay hope consider suggestion well regards,India,2021,December,"['time', 'environment', 'people', 'inhaling', 'poisonous', 'gases', 'leaders', 'mentioned', 'tweet', 'learned', 'dynamic', 'personalities', 'working', 'hard', 'reducing', 'delay', 'hope', 'consider', 'suggestion', 'well', 'regards']"
causing air pollution need highlight health hazards causes living contribution simply add small cess fuel dismantle toll booths sure cover loss revenue directly save,India,2021,December,"['causing', 'air', 'pollution', 'need', 'highlight', 'health', 'hazards', 'causes', 'living', 'contribution', 'simply', 'add', 'small', 'cess', 'fuel', 'dismantle', 'toll', 'booths', 'sure', 'cover', 'loss', 'revenue', 'directly', 'save']"
sabanaqvi xmas trees cut solve stop superstitious practices lead environmental polution,India,2021,December,"['sabanaqvi', 'xmas', 'trees', 'cut', 'solve', 'stop', 'superstitious', 'practices', 'lead', 'environmental', 'polution']"
spoke one youngest females family diapora asked politicians want lead country plans amp impending challenges technological advancement big data explained 45 system,India,2021,December,"['spoke', 'one', 'youngest', 'females', 'family', 'diapora', 'asked', 'politicians', 'want', 'lead', 'country', 'plans', 'amp', 'impending', 'challenges', 'technological', 'advancement', 'big', 'data', 'explained', '45', 'system']"
alarming situation whereby destroying future present coming generations greta thunburg righti discussed much detail published book call action,India,2021,December,"['alarming', 'situation', 'whereby', 'destroying', 'future', 'present', 'coming', 'generations', 'greta', 'thunburg', 'righti', 'discussed', 'much', 'detail', 'published', 'book', 'call', 'action']"
deeba accept mistake issues warminghunger deathcorona virusslow internetlow gdptraffic jam wherever applicableall diseaseslack employmentetc,India,2021,December,"['deeba', 'accept', 'mistake', 'issues', 'warminghunger', 'deathcorona', 'virusslow', 'internetlow', 'gdptraffic', 'jam', 'wherever', 'applicableall', 'diseaseslack', 'employmentetc']"
wed 221221december raincan take moment talk miracle threat mother earth,India,2021,December,"['wed', '221221december', 'raincan', 'take', 'moment', 'talk', 'miracle', 'threat', 'mother', 'earth']"
late snowfall year 2020 mt machhapuchhre almost without snow winter season neptrek,India,2021,December,"['late', 'snowfall', 'year', '2020', 'mt', 'machhapuchhre', 'almost', 'without', 'snow', 'winter', 'season', 'neptrek']"
liberal sweden accommodate middle eastern refugees land available due swain happy,India,2021,December,"['liberal', 'sweden', 'accommodate', 'middle', 'eastern', 'refugees', 'land', 'available', 'due', 'swain', 'happy']"
govtscorpnsgo green buy low consumptions maintenanceless emissions evehicles current scenarioin view steep rise fuels prices n needs control sort pollutions,India,2021,December,"['govtscorpnsgo', 'green', 'buy', 'low', 'consumptions', 'maintenanceless', 'emissions', 'evehicles', 'current', 'scenarioin', 'view', 'steep', 'rise', 'fuels', 'prices', 'n', 'needs', 'control', 'sort', 'pollutions']"
whats happening due take note,India,2021,December,"['whats', 'happening', 'due', 'take', 'note']"
v hv ppl like logic salam affected flooding bec beer factory kelantan hit big flood last time areas got beer factory pure science human beings caused,India,2021,December,"['v', 'hv', 'ppl', 'like', 'logic', 'salam', 'affected', 'flooding', 'bec', 'beer', 'factory', 'kelantan', 'hit', 'big', 'flood', 'last', 'time', 'areas', 'got', 'beer', 'factory', 'pure', 'science', 'human', 'beings', 'caused']"
never thought using heater option car temparature hyderabad,India,2021,December,"['never', 'thought', 'using', 'heater', 'option', 'car', 'temparature', 'hyderabad']"
think year flood worst well hold worst yet come tackle issue today act throw mdfer useless first,India,2021,December,"['think', 'year', 'flood', 'worst', 'well', 'hold', 'worst', 'yet', 'come', 'tackle', 'issue', 'today', 'act', 'throw', 'mdfer', 'useless', 'first']"
going cause severe impacts working hours also lead labourlossesdue rising degrees read,India,2021,December,"['going', 'cause', 'severe', 'impacts', 'working', 'hours', 'also', 'lead', 'labourlossesdue', 'rising', 'degrees', 'read']"
everythings burning series conceptual artwork imagination process days shows effect planet elementsavailable sale check,India,2021,December,"['everythings', 'burning', 'series', 'conceptual', 'artwork', 'imagination', 'process', 'days', 'shows', 'effect', 'planet', 'elementsavailable', 'sale', 'check']"
disasters selangor kelang valley time take seriously,India,2021,December,"['disasters', 'selangor', 'kelang', 'valley', 'time', 'take', 'seriously']"
facing massive flood almost every year different states kelamkabut another lame excuse met dh kuar warning awal hv mkn hv nadmakita di zaman yg akan hadapi cuaca extreme time time due bimbo laa dia ni,India,2021,December,"['facing', 'massive', 'flood', 'almost', 'every', 'year', 'different', 'states', 'kelamkabut', 'another', 'lame', 'excuse', 'met', 'dh', 'kuar', 'warning', 'awal', 'hv', 'mkn', 'hv', 'nadmakita', 'di', 'zaman', 'yg', 'akan', 'hadapi', 'cuaca', 'extreme', 'time', 'time', 'due', 'bimbo', 'laa', 'dia', 'ni']"
causes deforestation somalia 1 agricultural activities2 urbanization3 desertification landeffects deforestation somalia1 change2 increasing warming3 drought4 floodsways control 1 afforestation2 awarness3 education people,India,2021,December,"['causes', 'deforestation', 'somalia', '1', 'agricultural', 'activities2', 'urbanization3', 'desertification', 'landeffects', 'deforestation', 'somalia1', 'change2', 'increasing', 'warming3', 'drought4', 'floodsways', 'control', '1', 'afforestation2', 'awarness3', 'education', 'people']"
crisisi forget source covid19 dress rehearsal real crisishighest rainfall 40 years selangor48hours continuous rain ongoingpeople stranded 8 hours highwaymonsoon season never going,India,2021,December,"['crisisi', 'forget', 'source', 'covid19', 'dress', 'rehearsal', 'real', 'crisishighest', 'rainfall', '40', 'years', 'selangor48hours', 'continuous', 'rain', 'ongoingpeople', 'stranded', '8', 'hours', 'highwaymonsoon', 'season', 'never', 'going']"
environmental degradationonly 2014oh mean nehru indira rajiv sonia rahul didnt engage much development concerned environment etc,India,2021,December,"['environmental', 'degradationonly', '2014oh', 'mean', 'nehru', 'indira', 'rajiv', 'sonia', 'rahul', 'didnt', 'engage', 'much', 'development', 'concerned', 'environment', 'etc']"
syamsuddin rain winter london real,India,2021,December,"['syamsuddin', 'rain', 'winter', 'london', 'real']"
working hours due study,India,2021,December,"['working', 'hours', 'due', 'study']"
bull,India,2021,December,['bull']
circus unleashed,India,2021,December,"['circus', 'unleashed']"
family giraffes perished ongoing drought kenya people anything control control pollution,India,2021,December,"['family', 'giraffes', 'perished', 'ongoing', 'drought', 'kenya', 'people', 'anything', 'control', 'control', 'pollution']"
cyborg alpha group 225 busd devastation street hard times planet earth dreams space justify world hunger remained problem author,India,2021,December,"['cyborg', 'alpha', 'group', '225', 'busd', 'devastation', 'street', 'hard', 'times', 'planet', 'earth', 'dreams', 'space', 'justify', 'world', 'hunger', 'remained', 'problem', 'author']"
conservation energy also protects environment,India,2021,December,"['conservation', 'energy', 'also', 'protects', 'environment']"
dialogue solve problems including,India,2021,December,"['dialogue', 'solve', 'problems', 'including']"
observed december 14 every year day focuses making people aware promotes efforts towards saving energy resources,India,2021,December,"['observed', 'december', '14', 'every', 'year', 'day', 'focuses', 'making', 'people', 'aware', 'promotes', 'efforts', 'towards', 'saving', 'energy', 'resources']"
lets take pledge stop,India,2021,December,"['lets', 'take', 'pledge', 'stop']"
national conservation day focuses making people aware promoting efforts towards saving energy resources,India,2021,December,"['national', 'conservation', 'day', 'focuses', 'making', 'people', 'aware', 'promoting', 'efforts', 'towards', 'saving', 'energy', 'resources']"
absence china major emitters want commit reducing impacts major cause several disasters agree boy,India,2021,December,"['absence', 'china', 'major', 'emitters', 'want', 'commit', 'reducing', 'impacts', 'major', 'cause', 'several', 'disasters', 'agree', 'boy']"
3rd winner distinction india sushmitha sen 1994 amp lara dutta 2000 opinion amp advice young women self confidence impressed juries clinch title,India,2021,December,"['3rd', 'winner', 'distinction', 'india', 'sushmitha', 'sen', '1994', 'amp', 'lara', 'dutta', '2000', 'opinion', 'amp', 'advice', 'young', 'women', 'self', 'confidence', 'impressed', 'juries', 'clinch', 'title']"
drought flood forest fire phew sign need wake upwell solution simple little drops water make mighty ocean similarly little efforts grassroots help save planet,India,2021,December,"['drought', 'flood', 'forest', 'fire', 'phew', 'sign', 'need', 'wake', 'upwell', 'solution', 'simple', 'little', 'drops', 'water', 'make', 'mighty', 'ocean', 'similarly', 'little', 'efforts', 'grassroots', 'help', 'save', 'planet']"
theres local election area theyre discussing kolkata one cities world vulnerable candidate safeguard people aware alarmed people meanwhile leaders hardly stir,India,2021,December,"['theres', 'local', 'election', 'area', 'theyre', 'discussing', 'kolkata', 'one', 'cities', 'world', 'vulnerable', 'candidate', 'safeguard', 'people', 'aware', 'alarmed', 'people', 'meanwhile', 'leaders', 'hardly', 'stir']"
decline population undesirable direct amp indirect economic amp environmental effectsplants play critical role preventing hence decline pollinators worsen majority plants dependent pollinators,India,2021,December,"['decline', 'population', 'undesirable', 'direct', 'amp', 'indirect', 'economic', 'amp', 'environmental', 'effectsplants', 'play', 'critical', 'role', 'preventing', 'hence', 'decline', 'pollinators', 'worsen', 'majority', 'plants', 'dependent', 'pollinators']"
tough time convince students sustainable marketing speechless students impact fosil fuel indicator level environment awareness among malaysian,India,2021,December,"['tough', 'time', 'convince', 'students', 'sustainable', 'marketing', 'speechless', 'students', 'impact', 'fosil', 'fuel', 'indicator', 'level', 'environment', 'awareness', 'among', 'malaysian']"
behind scenes big companies everything make big profits mankind money totally capitalism using toxic chemicals pesticides glyphoste bpa gmo adulteration amp many things,India,2021,December,"['behind', 'scenes', 'big', 'companies', 'everything', 'make', 'big', 'profits', 'mankind', 'money', 'totally', 'capitalism', 'using', 'toxic', 'chemicals', 'pesticides', 'glyphoste', 'bpa', 'gmo', 'adulteration', 'amp', 'many', 'things']"
theres way start people,India,2021,December,"['theres', 'way', 'start', 'people']"
force stop factories wheel carbonic life many monthsthenit raises intensity unprecedented war destroy theoryimam nasser mohammed alyamanisayashelterisneeded,India,2021,December,"['force', 'stop', 'factories', 'wheel', 'carbonic', 'life', 'many', 'monthsthenit', 'raises', 'intensity', 'unprecedented', 'war', 'destroy', 'theoryimam', 'nasser', 'mohammed', 'alyamanisayashelterisneeded']"
data states glacier shrunk 1384 1971 2017the snout retreated 925m 2111 since 1971 60ma 2014global natural phenomena rate,India,2021,December,"['data', 'states', 'glacier', 'shrunk', '1384', '1971', '2017the', 'snout', 'retreated', '925m', '2111', 'since', '1971', '60ma', '2014global', 'natural', 'phenomena', 'rate']"
average annual temperature western increased 19c since 1970,India,2021,December,"['average', 'annual', 'temperature', 'western', 'increased', '19c', 'since', '1970']"
feel due warmingas water evaporate sea lake river etcin short time cloud forming also usualnormalhence thick clouds pour rain one gohope layman assumption right,India,2021,December,"['feel', 'due', 'warmingas', 'water', 'evaporate', 'sea', 'lake', 'river', 'etcin', 'short', 'time', 'cloud', 'forming', 'also', 'usualnormalhence', 'thick', 'clouds', 'pour', 'rain', 'one', 'gohope', 'layman', 'assumption', 'right']"
era super polluted city thanks getting closer death everyday zero restrictions policy awaaz,India,2021,December,"['era', 'super', 'polluted', 'city', 'thanks', 'getting', 'closer', 'death', 'everyday', 'zero', 'restrictions', 'policy', 'awaaz']"
flooding cities across globe,India,2021,December,"['flooding', 'cities', 'across', 'globe']"
affects frequency tropical storms also affects decency living warm climates causining torrential rain floods mudslidesso plant tree next generation get air freesave trees eliminate,India,2021,December,"['affects', 'frequency', 'tropical', 'storms', 'also', 'affects', 'decency', 'living', 'warm', 'climates', 'causining', 'torrential', 'rain', 'floods', 'mudslidesso', 'plant', 'tree', 'next', 'generation', 'get', 'air', 'freesave', 'trees', 'eliminate']"
good morninghave ever thought world mother nature living things pollution difficult survive coming years plant tree every sunday save life,India,2021,December,"['good', 'morninghave', 'ever', 'thought', 'world', 'mother', 'nature', 'living', 'things', 'pollution', 'difficult', 'survive', 'coming', 'years', 'plant', 'tree', 'every', 'sunday', 'save', 'life']"
coronavirus destroyed theory since paris agreement appliedgiven agreed upon reducing 50 factories exhaustsimam nasser mohammed alyamani124planethasneared omicronneq6u,India,2021,December,"['coronavirus', 'destroyed', 'theory', 'since', 'paris', 'agreement', 'appliedgiven', 'agreed', 'upon', 'reducing', '50', 'factories', 'exhaustsimam', 'nasser', 'mohammed', 'alyamani124planethasneared', 'omicronneq6u']"
force stop factories wheel carbonic life many monthsthenit raises intensity unprecedented war destroy theoryimam nasser mohammed alyamani1410202138planethasneared omicronkldj,India,2021,December,"['force', 'stop', 'factories', 'wheel', 'carbonic', 'life', 'many', 'monthsthenit', 'raises', 'intensity', 'unprecedented', 'war', 'destroy', 'theoryimam', 'nasser', 'mohammed', 'alyamani1410202138planethasneared', 'omicronkldj']"
could extract great quran proofs virus corona sent allah verify fatwa demolish theoryimam nasser mohammed alyamani1410202137planethasneared omicronld1kc,India,2021,December,"['could', 'extract', 'great', 'quran', 'proofs', 'virus', 'corona', 'sent', 'allah', 'verify', 'fatwa', 'demolish', 'theoryimam', 'nasser', 'mohammed', 'alyamani1410202137planethasneared', 'omicronld1kc']"
allah raised intensity climatic war theory untrue look solar system find abnormalimam nasser mohammed alyamani1410202148planethasneared omicronekjcr,India,2021,December,"['allah', 'raised', 'intensity', 'climatic', 'war', 'theory', 'untrue', 'look', 'solar', 'system', 'find', 'abnormalimam', 'nasser', 'mohammed', 'alyamani1410202148planethasneared', 'omicronekjcr']"
read understand without prejudiceours civilization world worships nature protecting,India,2021,December,"['read', 'understand', 'without', 'prejudiceours', 'civilization', 'world', 'worships', 'nature', 'protecting']"
blessing disguise thinking coronavirus solved issue paris agreement conference could find solution forimam nasser mohammed alyamani1410202120planethasnearedt4,India,2021,December,"['blessing', 'disguise', 'thinking', 'coronavirus', 'solved', 'issue', 'paris', 'agreement', 'conference', 'could', 'find', 'solution', 'forimam', 'nasser', 'mohammed', 'alyamani1410202120planethasnearedt4']"
due extensive candles amp cut trees day joy avoid candles amp tree,India,2021,December,"['due', 'extensive', 'candles', 'amp', 'cut', 'trees', 'day', 'joy', 'avoid', 'candles', 'amp', 'tree']"
week 346 buying vegetable bulk without throw plastic bags250 families mitigate marine debris advantage 5000 less plastic bags ii 8000 kg less carbon yeariii saving rs 550 every familybaby steps bit,India,2021,December,"['week', '346', 'buying', 'vegetable', 'bulk', 'without', 'throw', 'plastic', 'bags250', 'families', 'mitigate', 'marine', 'debris', 'advantage', '5000', 'less', 'plastic', 'bags', 'ii', '8000', 'kg', 'less', 'carbon', 'yeariii', 'saving', 'rs', '550', 'every', 'familybaby', 'steps', 'bit']"
mission accomplished,India,2021,December,"['mission', 'accomplished']"
allah raised intensity climatic war theory untrue look solar system find abnormalimam nasser mohammed alyamani1410202148planethasneared omicroniy7c6,India,2021,December,"['allah', 'raised', 'intensity', 'climatic', 'war', 'theory', 'untrue', 'look', 'solar', 'system', 'find', 'abnormalimam', 'nasser', 'mohammed', 'alyamani1410202148planethasneared', 'omicroniy7c6']"
force stop factories wheel carbonic life many monthsthenit raises intensity unprecedented war destroy theoryimam nasser mohammed alyamani1410202139planethasnearedpkmw3h,India,2021,December,"['force', 'stop', 'factories', 'wheel', 'carbonic', 'life', 'many', 'monthsthenit', 'raises', 'intensity', 'unprecedented', 'war', 'destroy', 'theoryimam', 'nasser', 'mohammed', 'alyamani1410202139planethasnearedpkmw3h']"
could extract great quran proofs virus corona sent allah verify fatwa demolish theoryimam nasser mohammed alyamani1410202138planethasneared2mjwq5,India,2021,December,"['could', 'extract', 'great', 'quran', 'proofs', 'virus', 'corona', 'sent', 'allah', 'verify', 'fatwa', 'demolish', 'theoryimam', 'nasser', 'mohammed', 'alyamani1410202138planethasneared2mjwq5']"
written many statements concerning matter still believed believed theory failedimam nasser mohammed alyamani1410202137planethasnearedyjnlt,India,2021,December,"['written', 'many', 'statements', 'concerning', 'matter', 'still', 'believed', 'believed', 'theory', 'failedimam', 'nasser', 'mohammed', 'alyamani1410202137planethasnearedyjnlt']"
denying disbelieving theory 16 yearsand planet fire saqar approaching earthimam nasser mohammed alyamani1410202135planethasnearedgrojbamp,India,2021,December,"['denying', 'disbelieving', 'theory', '16', 'yearsand', 'planet', 'fire', 'saqar', 'approaching', 'earthimam', 'nasser', 'mohammed', 'alyamani1410202135planethasnearedgrojbamp']"
force stop factories wheel carbonic life many monthsthenit raises intensity unprecedented war destroy theoryimam nasser mohammed alyamani1410202139planethasnearedtysmsi,India,2021,December,"['force', 'stop', 'factories', 'wheel', 'carbonic', 'life', 'many', 'monthsthenit', 'raises', 'intensity', 'unprecedented', 'war', 'destroy', 'theoryimam', 'nasser', 'mohammed', 'alyamani1410202139planethasnearedtysmsi']"
could extract great quran proofs virus corona sent allah verify fatwa demolish theoryimam nasser mohammed alyamani1410202138planethasnearedyvhlvr,India,2021,December,"['could', 'extract', 'great', 'quran', 'proofs', 'virus', 'corona', 'sent', 'allah', 'verify', 'fatwa', 'demolish', 'theoryimam', 'nasser', 'mohammed', 'alyamani1410202138planethasnearedyvhlvr']"
hand intensity climatic disasters unprecedentedly increased since 2020 till hence theory failedimam nasser mohammed alyamani1410202131planethasnearedhhznfr,India,2021,December,"['hand', 'intensity', 'climatic', 'disasters', 'unprecedentedly', 'increased', 'since', '2020', 'till', 'hence', 'theory', 'failedimam', 'nasser', 'mohammed', 'alyamani1410202131planethasnearedhhznfr']"
written many statements concerning matter still believed believed theory failedimam nasser mohammed alyamani1410202137planethasnearedqaupe,India,2021,December,"['written', 'many', 'statements', 'concerning', 'matter', 'still', 'believed', 'believed', 'theory', 'failedimam', 'nasser', 'mohammed', 'alyamani1410202137planethasnearedqaupe']"
coronavirus destroyed theory since paris agreement appliedgiven agreed upon reducing 50 factories exhaustsimam nasser mohammed alyamani124planethasneared omicronhzetw1,India,2021,December,"['coronavirus', 'destroyed', 'theory', 'since', 'paris', 'agreement', 'appliedgiven', 'agreed', 'upon', 'reducing', '50', 'factories', 'exhaustsimam', 'nasser', 'mohammed', 'alyamani124planethasneared', 'omicronhzetw1']"
denying disbelieving theory 16 yearsand planet fire saqar approaching earthimam nasser mohammed alyamani1410202135planethasnearedubrs,India,2021,December,"['denying', 'disbelieving', 'theory', '16', 'yearsand', 'planet', 'fire', 'saqar', 'approaching', 'earthimam', 'nasser', 'mohammed', 'alyamani1410202135planethasnearedubrs']"
coronavirus destroyed theory since paris agreement appliedgiven agreed upon reducing 50 factories exhaustsimam nasser mohammed alyamani29planethasnearedizzbvh,India,2021,December,"['coronavirus', 'destroyed', 'theory', 'since', 'paris', 'agreement', 'appliedgiven', 'agreed', 'upon', 'reducing', '50', 'factories', 'exhaustsimam', 'nasser', 'mohammed', 'alyamani29planethasnearedizzbvh']"
happen factories another reason hide worldimam nasser mohammed alyamani1410202171planethasneared7oddah,India,2021,December,"['happen', 'factories', 'another', 'reason', 'hide', 'worldimam', 'nasser', 'mohammed', 'alyamani1410202171planethasneared7oddah']"
hand intensity climatic disasters unprecedentedly increased since 2020 till hence theory failedimam nasser mohammed alyamani1410202131planethasnearedat2zk,India,2021,December,"['hand', 'intensity', 'climatic', 'disasters', 'unprecedentedly', 'increased', 'since', '2020', 'till', 'hence', 'theory', 'failedimam', 'nasser', 'mohammed', 'alyamani1410202131planethasnearedat2zk']"
mass lockout world due corona made major countries happen factories another reason hideimam nasser mohammed alyamani1410202170planethasnearedffgnx,India,2021,December,"['mass', 'lockout', 'world', 'due', 'corona', 'made', 'major', 'countries', 'happen', 'factories', 'another', 'reason', 'hideimam', 'nasser', 'mohammed', 'alyamani1410202170planethasnearedffgnx']"
coronavirus destroyed theory since paris agreement appliedgiven agreed upon reducing 50 factories exhaustsimam nasser mohammed alyamani29planethasnearedbxoqz,India,2021,December,"['coronavirus', 'destroyed', 'theory', 'since', 'paris', 'agreement', 'appliedgiven', 'agreed', 'upon', 'reducing', '50', 'factories', 'exhaustsimam', 'nasser', 'mohammed', 'alyamani29planethasnearedbxoqz']"
written many statements concerning matter still believed believed theory failedimam nasser mohammed alyamani1410202136planethasneared omicronwsxja9,India,2021,December,"['written', 'many', 'statements', 'concerning', 'matter', 'still', 'believed', 'believed', 'theory', 'failedimam', 'nasser', 'mohammed', 'alyamani1410202136planethasneared', 'omicronwsxja9']"
allah raised intensity climatic war theory untrue look solar system find abnormalimam nasser mohammed alyamani1410202149planethasneareds4wtyw,India,2021,December,"['allah', 'raised', 'intensity', 'climatic', 'war', 'theory', 'untrue', 'look', 'solar', 'system', 'find', 'abnormalimam', 'nasser', 'mohammed', 'alyamani1410202149planethasneareds4wtyw']"
blessing disguise thinking coronavirus solved issue paris agreement conference could find solution forimam nasser mohammed alyamani1410202120planethasneareddwfeg0,India,2021,December,"['blessing', 'disguise', 'thinking', 'coronavirus', 'solved', 'issue', 'paris', 'agreement', 'conference', 'could', 'find', 'solution', 'forimam', 'nasser', 'mohammed', 'alyamani1410202120planethasneareddwfeg0']"
denying disbelieving theory 16 yearsand planet fire saqar approaching earthimam nasser mohammed alyamani1410202134planethasneared omicronwabyqa,India,2021,December,"['denying', 'disbelieving', 'theory', '16', 'yearsand', 'planet', 'fire', 'saqar', 'approaching', 'earthimam', 'nasser', 'mohammed', 'alyamani1410202134planethasneared', 'omicronwabyqa']"
blessing disguise thinking coronavirus solved issue paris agreement conference could find solution forimam nasser mohammed alyamani1410202120planethasnearedyymhj,India,2021,December,"['blessing', 'disguise', 'thinking', 'coronavirus', 'solved', 'issue', 'paris', 'agreement', 'conference', 'could', 'find', 'solution', 'forimam', 'nasser', 'mohammed', 'alyamani1410202120planethasnearedyymhj']"
